,file_name,old_hypotheses,old_tok_len,hypotheses,tok_len,old_captions,captions
0,000000064183.jpg,"['رجل', 'يرتدي', 'سترة', 'صفراء']",4,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,رجل يرتدي سترة صفراء,امرأة في الشارع
1,000000065288.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'في', 'الثلج']",6,"['كلب', 'يقفز', 'في', 'ال', '+', 'هواء']",6,اثنين من الكلاب يلعبون في الثلج,كلب يقفز في الهواء
2,000000144000.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'كرة', 'القدم']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يلعبون كرة القدم,مجموعة من الناس في الشارع
3,000000323789.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['صبي', 'صغير', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر']",39,رجل يجلس على مقعد,صبي صغير يرتدي قميصا أحمر واللون الأحمر واللون الأحمر واللون الأحمر واللون الأحمر
4,000000416098.jpg,"['رجل', 'يركب', 'دراجة', 'هوائية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'في', 'ال', '+', 'هواء']",9,رجل يركب دراجة هوائية,رجل يركب دراجة في الهواء
5,000000121785.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'في', 'الخارج']",6,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يلعبون في الخارج,العديد من الناس في الشارع
6,000000287735.jpg,"['رجل', 'في', 'قميص', 'أحمر', 'يقف', 'أمام', 'الكاميرا']",7,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,رجل في قميص أحمر يقف أمام الكاميرا,امرأة صغيرة في الشارع
7,000000356060.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الشارع']",6,"['امرأ', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس يقفون في الشارع,امرأة في الشارع
8,000000386707.jpg,"['رجل', 'في', 'قميص', 'أزرق', 'يجلس', 'على', 'الرصيف']",7,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'يقف', '+', 'ان', 'في', 'ال', '+', 'شارع']",13,رجل في قميص أزرق يجلس على الرصيف,رجل وامرأة يقفان في الشارع
9,000000440610.jpg,"['رجل', 'يقف', 'على', 'الشاطئ']",4,"['شخص', '+', 'ان', 'على', 'ال', '+', 'شاطئ']",7,رجل يقف على الشاطئ,شخصان على الشاطئ
