file_name,caption,split
1000268201_693b08cb0e.jpg,طفلة صغيرة تتسلق إلى مسرح خشبي,train
1000268201_693b08cb0e.jpg,طفلة صغيرة تتسلق الدرج إلى منزلها,train
1000268201_693b08cb0e.jpg,فتاة صغيرة في ثوب وردي تذهب إلى المقصورة الخشبية,train
1001773457_577c3a7d70.jpg,كلب أسود وكلب ثلاثي الألوان يلعبان مع بعضهما البعض على الطريق,train
1001773457_577c3a7d70.jpg,كلب أسود وكلب أبيض ببقع بنية يحدقان في بعضهما البعض في الشارع,train
1001773457_577c3a7d70.jpg,كلاب على الرصيف تتحرك نحو بعضها البعض,train
1002674143_1b742ab4b8.jpg,فتاة صغيرة مغطاة بالطلاء تجلس أمام قوس قزح,train
1002674143_1b742ab4b8.jpg,فتاة صغيرة تجلس أمام قوس قزح ملون كبير,train
1002674143_1b742ab4b8.jpg,فتاة أمام لوحة قوس قزح,train
1003163366_44323f5815.jpg,رجل يجلس على مقعد بينما يجلس كلبه بجانبه,train
1003163366_44323f5815.jpg,رجل ينام على مقعد في الخارج مع كلب أبيض وأسود يجلس بجانبه,train
1003163366_44323f5815.jpg,رجل بلا قميص يجلس على مقعد في الحديقة مع كلبه,train
1007129816_e794419615.jpg,رجل يرتدي قبعة برتقالية,train
1007129816_e794419615.jpg,رجل يرتدي قبعة برتقالية ونظارات,train
1007129816_e794419615.jpg,الرجل ذو الأذن المثقوبة يرتدي نظارات وقبعة برتقالية اللون,train
1007320043_627395c3d8.jpg,طفل يلعب على حبل,train
1007320043_627395c3d8.jpg,فتاة صغيرة تتسلق على الحبل الأحمر,train
1007320043_627395c3d8.jpg,طفل صغير يمسك بالحبال الحمراء في الملعب,train
1009434119_febe49276a.jpg,كلب أبيض وأسود يركض في حديقة عشبية محاطة بسياج أبيض,train
1009434119_febe49276a.jpg,كلب أبيض وأسود يركض على العشب,train
1009434119_febe49276a.jpg,كلب يمتد على العشب الأخضر بالقرب من سياج خشبي,train
1012212859_01547e3f17.jpg,كلب يهز رأسه بالقرب من الشاطئ ، كرة حمراء بجانبه,train
1012212859_01547e3f17.jpg,كلب أبيض يهتز على حافة الشاطئ مع كرة برتقالية,train
1012212859_01547e3f17.jpg,كلب أبيض يلعب مع كرة حمراء على الشاطئ بالقرب من الماء,train
1015118661_980735411b.jpg,صبي يبتسم أمام حائط صخري في مدينة,train
1015118661_980735411b.jpg,صبي صغير يركض على الشارع,train
1015118661_980735411b.jpg,طفل صغير يسير في شارع مرصوف بالحجارة مع عمود معدني ورجل خلفه,train
1015584366_dfcec3c85a.jpg,كلب أسود يقفز فوق الجذع,train
1015584366_dfcec3c85a.jpg,كلب رمادي يقفز فوق شجرة ساقطة,train
1015584366_dfcec3c85a.jpg,كلب أسود كبير يقفز فوق جذع,train
101654506_8eb26cfb60.jpg,كلب أبيض وأبيض يمر عبر الثلج,train
101654506_8eb26cfb60.jpg,كلب يركض في الثلج,train
