caption,id,file_path
الناس يعبرون الشارع في بلدة صينية مزدحمة.,64183,000000064183.jpg
شخص يحمل مظلة صفراء يمشي بالقرب من الرصيف.,64183,000000064183.jpg
شخص في الشارع  يجر عربة تسوق  ويحمل مظلة.,64183,000000064183.jpg
امرأة في شارع مزدحم مع عربة تسوق ومظلة.,64183,000000064183.jpg
أشخاص يسيرون وسيارات تسير في شارع بجوار متاجر,64183,000000064183.jpg
طائر يجلس على ظهر كرسي.,65288,000000065288.jpg
جسم أصفر وأخضر يجلس فوقه طائر بني.,65288,000000065288.jpg
طائر صغير يجلس على كرسي بجانب طاولة.,65288,000000065288.jpg
الطيور الصغيرة على ظهر الكراسي في مطعم في الهواء الطلق,65288,000000065288.jpg
بعض الأثاث الأصفر الجميل بالقرب من شارع مزدحم,65288,000000065288.jpg
المتفرجون يشاهدون لاعبي البيسبول يلعبون لعبة في الملعب,144000,000000144000.jpg
هناك مباراة بيسبول جارية في الملعب,144000,000000144000.jpg
لاعب بيسبول يستعد لضرب الكرة مع حشد من الجمهور.,144000,000000144000.jpg
لاعبي البيسبول يلعبون البيسبول أمام العديد من المتفرجين.,144000,000000144000.jpg
لاعب بيسبول يحمل مضربًا في الملعب,144000,000000144000.jpg
رجل يرتدي زيًا رسميًا يتحدث على الهاتف في مكتب العمل.,323789,000000323789.jpg
رجل يرتدي زيا عسكريا يتحدث في الهاتف.,323789,000000323789.jpg
جندي في المكتب يتلقى مكالمة هاتفية.,323789,000000323789.jpg
رجل عسكري على الهاتف في مكتبه,323789,000000323789.jpg
رجل يرتدي زيًا رسميًا جهاز كمبيوتر محمول وملصق وهاتف,323789,000000323789.jpg
بعض الناس على شاطئ رملي مع دراجة.,416098,000000416098.jpg
امرأتان تقفان بجوار دراجة على الشاطئ.,416098,000000416098.jpg
الناس يقفون على الشاطئ مع الطائرات الورقية والدراجات مع السماء الملبدة بالغيوم,416098,000000416098.jpg
امرأة على الشاطئ بالحقائب والدراجة.,416098,000000416098.jpg
النساء على الشاطئ مع العديد من الأطفال والطائرات الورقية,416098,000000416098.jpg
حقل مليء بالأعلام الأمريكية بجوار صنبور إطفاء.,121785,000000121785.jpg
مجموعة من الأعلام الأمريكية غرست فى الأرض.,121785,000000121785.jpg
تقف عدة أعلام أمريكية على العشب.,121785,000000121785.jpg
مجموعة من الأعلام الأمريكية على العشب بالقرب من بعض الناس,121785,000000121785.jpg
غرست العديد من الأعلام على الأرض في منطقة عشبية,121785,000000121785.jpg
امرأة تستخدم هاتفًا خلويًا لالتقاط صورة لها مع قطتها ملفوفة حول رقبتها.,287735,000000287735.jpg
"امرأة تلتقط ""صورة شخصية"" وهاتفها المحمول مع قطة على كتفها.",287735,000000287735.jpg
